suspended,sector,employees,firm_age,owner_gender
Yes,Manufacturing,23,22,Male
No,Manufacturing,12,11,Male
No,Manufacturing,44,22,Female
No,Manufacturing,18,27,Male
No,Manufacturing,46,20,Female
No,Manufacturing,120,17,Female
No,Manufacturing,154,10,Male
No,Manufacturing,28,10,Female
No,Manufacturing,6,23,Male
No,Manufacturing,5,4,Male
No,Manufacture,21,18,Female
No,Manufacturing,49,77,Female
Yes,Manufacturing,8,25,Male
No,Manufacturing,7,17,Female
No,Manufacturing,16,21,Male
Yes,Manufacturing,10,11,Female
No,Manufacturing,25,24,Female
No,Manufacturing,18,20,Male
Yes,Manufacturing,5,320,Male
Yes,Manufacturing,17,9,Male
No,Manufacturing,6,10,Male
No,Manufacturing,19,11,Female
No,Manufacturing,20,23,Female
Yes,Manufacturing,30,26,Female
No,Manufacturing,17,16,Male
Yes,Manufacturing,36,14,Male
Yes,Manufacturing,23,28,Female
No,Manufacture,118,11,Male
No,Manufacturing,380,10,Male
No,Manufacturing,5,26,Female
Yes,Manufacturing,7,18,Male
Yes,Manufacturing,6,27,Male
No,Manufacturing,35,2,Male
Yes,Manufacturing,28,7,Female
No,Manufacturing,21,18,Female
No,Manufacturing,89,15,Male
No,Manufacturing,16,13,Male
No,Manufacturing,325,28,Male
No,Manufacturing,30,16,Male
No,Manufacturing,109,15,Female
No,Manufacturing,6,19,Male
No,Manufacturing,52,25,Male
Yes,Manufacturing,68,11,Male
No,Manufacturing,121,24,Male
Yes,Manufacturing,8,27,Female
Yes,Manufacturing,275,21,Male
No,Manufacturing,102,25,Male
No,Manufacturing,70,16,Female
No,Manufacturing,70,30,Male
Yes,Manufacturing,6,25,Male
No,Manufacturing,40,11,Male
No,Manufacturing,25,7,Female
No,Manufacturing,33,10,Female
No,Manufacturing,110,17,Female
Yes,Manufacturing,,10,Male
Yes,Manufacturing,6,3,Male
No,Manufacturing,695,22,Male
No,Manufacturing,35,25,Male
No,Manufacturing,116,25,Male
No,Manufacturing,12,11,Female
No,Manufacturing,220,13,Male
No,Manufacturing,200,16,Male
No,Manufacturing,8,6,Male
No,Manufacturing,5,13,Female
Yes,Manufacturing,5,15,Female
Yes,Manufacturing,9,2,Female
No,Manufacturing,25,24,Male
No,Manufacturing,104,24,Male
No,Manufacturing,7,17,Male
No,Manufacturing,6,9,Male
No,Manufacturing,45,26,Male
No,Manufacturing,20,19,Male
No,Manufacturing,90,13,Male
No,Manufacturing,25,17,Female
No,Manufacturing,27,20,Male
No,Manufacturing,158,29,Male
No,Manufacturing,90,83,Male
No,Manufacturing,35,10,Male
No,Manufacture,101,16,Male
No,Manufacturing,140,21,Male
Yes,Manufacturing,54,6,Male
No,Manufacturing,350,21,Male
No,Manufacturing,9,9,Female
No,Manufacturing,145,22,Male
No,Manufacturing,23,13,Male
No,Manufacturing,23,25,Male
No,Manufacturing,90,23,Male
No,Manufacturing,18,17,Male
No,Manufacturing,48,11,Male
No,Manufacturing,25,25,Male
No,Manufacturing,150,30,Male
No,Manufacturing,17,3,Male
No,Manufacturing,18,15,Male
No,Manufacturing,22,14,Male
No,Manufacturing,18,27,Male
No,Manufacturing,10,48,Male
No,Manufacturing,40,25,Female
No,Manufacturing,11,11,Male
No,Manufacturing,108,42,Male
No,Manufacturing,90,28,Male
No,Manufacturing,24,9,Male
No,Manufacturing,13,28,Female
No,Manufacturing,600,51,Male
No,Manufacturing,125,28,Male
No,Manufacturing,21,11,Male
Yes,Manufacturing,66,15,Male
No,Manufacturing,8,25,Female
No,Manufacturing,15,24,Male
No,Manufacturing,50,16,Female
Yes,Manufacturing,6,22,Male
No,Manufacturing,26,17,Male
Yes,Manufacturing,12,29,Male
No,Manufacturing,385,45,Male
No,Manufacturing,6,7,Female
No,Manufacturing,38,16,Male
Yes,Manufacturing,8,14,Male
No,Manufacturing,6,12,Male
No,Manufacturing,47,29,Female
Yes,Manufacturing,17,20,Male
No,Manufacturing,120,51,Male
Yes,Manufacturing,19,23,Female
No,Manufacturing,11,9,Male
No,Manufacturing,63,29,Male
No,Manufacturing,10,12,Male
Yes,Manufacturing,15,6,Female
Yes,Manufacturing,20,44,Male
No,Manufacturing,9,19,Male
No,Manufacturing,20,6,Male
No,Manufacturing,48,11,Male
No,Manufacturing,75,29,Male
No,Manufacturing,120,72,Male
No,Manufacturing,9,15,Male
No,Manufacturing,60,15,Female
Yes,Manufacturing,72,19,Male
No,Manufacturing,109,19,Male
No,Manufacturing,35,18,Male
Yes,Manufacturing,10,3,Female
Yes,Manufacturing,19,12,Male
No,Manufacturing,114,31,Male
Yes,Manufacturing,834,,Male
No,Manufacturing,18,22,Female
No,Manufacturing,9,11,Female
No,Manufacturing,100,55,Male
No,Manufacturing,825,45,Male
No,Manufacturing,50,17,Male
No,Manufacturing,16,11,Male
No,Manufacturing,12,4,Male
No,Manufacturing,121,55,Male
Yes,Manufacturing,18,15,Male
No,Manufacturing,55,5,Male
No,Manufacturing,135,8,Male
No,Manufacturing,31,23,Male
No,Manufacturing,85,25,Male
Yes,Manufacturing,19,13,Female
No,Manufacturing,674,64,Male
No,Manufacturing,301,27,Male
No,Manufacturing,25,28,Male
No,Manufacturing,220,28,Male
No,Manufacturing,16,44,Male
No,Manufacturing,264,22,Male
No,Manufacturing,160,28,Male
No,Manufacturing,44,28,Male
No,Manufacturing,300,28,Male
No,Manufacturing,7,28,Male
No,Manufacturing,35,25,Female
Yes,Manufacturing,520,21,Male
Yes,Manufacturing,10,7,Male
No,Manufacturing,88,26,Male
No,Manufacturing,80,20,Male
No,Manufacturing,220,26,Male
No,Manufacturing,10,27,Male
No,Manufacturing,9,31,Male
No,Manufacturing,8,23,Female
No,Manufacturing,56,16,Male
No,Manufacturing,200,51,Male
No,Manufacturing,140,6,Male
No,Manufacturing,85,13,Male
Yes,Manufacturing,45,25,Female
No,Manufacturing,48,28,Male
Yes,Manufacturing,509,18,Female
No,Manufacturing,265,16,Male
No,Manufacturing,102,7,Male
No,Manufacturing,6,37,Male
No,Manufacturing,280,26,Male
Yes,Manufacturing,14,41,Male
No,Manufacturing,87,26,Male
No,Manufacturing,205,28,Male
No,Manufacturing,5,71,Male
No,Manufacturing,74,20,Male
No,Manufacturing,20,24,Male
No,Manufacturing,43,7,Male
Yes,Manufacturing,50,5,Male
No,Manufacturing,489,28,Male
No,Manufacturing,1198,29,Male
No,Manufacturing,10,27,Male
Yes,Manufacturing,45,27,Male
No,Manufacturing,93,99,Male
No,Manufacturing,8,13,Male
No,Manufacturing,40,27,Male
No,Manufacturing,281,25,Male
Yes,Manufacturing,6,6,Male
No,Manufacturing,155,25,Male
No,Manufacturing,7,4,Male
No,Manufacturing,21,21,Female
Yes,Manufacturing,6,20,Male
No,Manufacturing,319,113,Male
No,Manufacturing,50,22,Male
No,Manufacturing,43,27,Female
No,Manufacturing,100,24,Male
No,Manufacturing,412,26,Male
No,Manufacturing,4,15,Male
No,Manufacturing,19,30,Female
No,Manufacturing,70,12,Male
No,Manufacturing,10,8,Male
No,Manufacturing,56,25,Male
No,Manufacturing,139,18,Male
Yes,Manufacturing,5,29,Male
No,Manufacturing,20,,Female
No,Manufacturing,2,73,Male
No,Manufacturing,17,18,Male
No,Manufacturing,5,13,Male
No,Manufacturing,183,28,Female
Yes,Manufacturing,8,36,Male
Yes,Manufacturing,400,30,Male
No,Manufacturing,54,26,Female
No,Manufacturing,45,21,Male
No,Manufacturing,45,11,Female
No,Manufacturing,18,26,Male
No,Manufacturing,8,15,Male
No,Manufacturing,32,27,Male
No,Manufacturing,3,18,Male
No,Manufacturing,115,28,Male
No,Manufacturing,10,20,Male
No,Manufacturing,99,23,Male
No,Manufacturing,9,29,Male
No,Manufacturing,150,26,Male
No,Manufacturing,15,8,Male
Yes,Manufacturing,44,29,Female
No,Manufacturing,420,23,Male
No,Manufacturing,65,25,Male
No,Manufacturing,250,76,Male
No,Manufacturing,24,9,Male
No,Manufacturing,29,10,Male
No,Manufacturing,16,27,Male
No,Manufacturing,770,19,female
Yes,Manufacturing,10,5,Female
No,Manufacturing,25,26,Male
Yes,Manufacturing,24,14,Male
No,Manufacturing,3,20,Male
No,Manufacturing,10,26,Male
No,Manufacturing,31,12,Female
Yes,Manufacturing,30,20,Male
No,Manufacturing,453,29,Male
No,Manufacturing,35,21,Male
Yes,Manufacturing,450,27,Male
No,Manufacturing,16,23,Male
No,Manufacturing,70,30,Male
No,Manufacturing,20,6,female
No,Manufacturing,178,28,Male
Yes,Manufacturing,7,26,Male
No,Manufacturing,12,64,Male
No,Manufacturing,70,31,Male
No,Manufacturing,82,22,Male
No,Manufacturing,15,28,Male
No,Manufacturing,75,28,Male
Yes,Manufacturing,80,22,Female
Yes,Manufacturing,33,20,Female
Yes,Manufacturing,8,47,Male
Yes,Manufacturing,6,19,Male
No,Manufacturing,20,30,Female
No,Manufacturing,22,62,Male
No,Manufacturing,14,26,Male
No,Manufacturing,52,29,Male
No,Manufacturing,116,42,Male
No,Manufacturing,7,16,Male
No,Manufacturing,65,26,Male
No,Manufacturing,11,25,Male
No,Manufacturing,40,22,Male
No,Manufacturing,86,21,Female
No,Manufacturing,150,8,Male
No,Manufacturing,28,13,Male
Yes,Manufacturing,35,26,Male
No,Manufacturing,49,43,Male
No,Manufacturing,9,23,Male
No,Manufacturing,370,,Male
Yes,Manufacturing,28,26,Male
No,Manufacturing,380,26,Male
No,Manufacturing,200,87,female
Yes,Manufacturing,90,,Male
No,Manufacturing,8,27,Female
No,Manufacturing,137,29,Male
No,Manufacturing,105,27,Male
No,Manufacturing,300,98,Male
No,Manufacturing,130,27,Male
No,Manufacturing,16,18,Male
No,Manufacturing,151,34,Male
No,Manufacturing,21,18,Male
Yes,Manufacturing,16,59,Male
No,Manufacturing,50,20,Male
No,Manufacturing,110,12,Male
No,Manufacturing,10,16,Male
No,Manufacturing,10,11,Male
No,Manufacturing,18,26,Male
No,Manufacturing,130,22,Male
No,Manufacturing,20,24,Male
No,Manufacturing,8,27,Male
No,Manufacturing,70,36,Male
No,Manufacturing,55,26,Male
No,Manufacturing,620,14,Male
No,Manufacturing,65,25,Female
No,Manufacturing,32,13,Male
No,Manufacturing,38,21,Male
No,Manufacturing,20,27,Male
Yes,Manufacturing,15,47,Male
No,Manufacturing,100,23,Male
Yes,Manufacturing,27,34,Male
No,Manufacturing,25,11,Male
Yes,Manufacturing,225,24,female
No,Manufacturing,15,29,Female
Yes,Manufacturing,313,27,Male
No,Manufacturing,14,5,Male
No,Manufacturing,18,8,Male
No,Manufacturing,10,28,Male
No,Manufacturing,15,14,Female
No,Manufacturing,241,28,Male
No,Manufacturing,36,22,Female
No,Manufacturing,30,26,Male
No,Manufacturing,143,26,Male
No,Manufacturing,39,22,Male
Yes,Manufacturing,13,28,Male
